,ticker,name,sector,date,signal,score,confidence,target_return,pattern_type,experts,reasons
1,006260,LS,기타,2026-05-14,BUY,0.675,0.75,0.15,강력한 상승 모멘텀 성장주,"['growth', 'theme']","['LS는 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 과거 패턴 분석 결과 높은 수익률을 기대할 수 있습니다. 특히, 20일 수익률이 67.5%로 매우 높은 주가 모멘텀을 가지고 있으며, RSI 68(강세)과 MACD 골든크로스/상승세는 추가 상승 여력을 시사합니다. 비록 볼린저밴드 하단대에 위치하지만, 이는 단기 조정 후 재상승 가능성을 내포하며, 역사적 변동성 89.0%와 ADX 45는 강한 추세의 지속을 뒷받침합니다. 유사 사례들의 평균 5일 수익률이 21.08%로 매우 높게 나타나, LS 또한 단기적으로 높은 수익률을 기대할 수 있습니다. 현재 공시/뉴스 부재는 단기적인 악재가 없음을 의미하며, 성장주 관점에서 실적 모멘텀과 섹터 성장성에 대한 추가적인 정보가 없지만, 기술적 지표만으로도 충분히 매력적인 구간으로 판단됩니다.', 'LS는 강한 상승 추세와 MACD 골든크로스 유지, RSI 68로 과열권 진입 직전이나 아직 추가 상승 여력 존재. 유사 과거 패턴에서 높은 수익률을 보인 사례가 다수이며, 특히 볼린저밴드 하단대 위치는 단기 조정 후 재상승 가능성을 시사. 다만, 최근 급등에 따른 차익 실현 매물과 정책/이슈 부재는 리스크 요인으로 작용할 수 있음. 손절선은 MA20 이탈 시점으로 설정.']"
2,062040,산일전기,기타,2026-05-14,BUY,0.675,0.75,0.1,강한 상승 모멘텀 성장주,"['growth', 'theme']","['산일전기는 강한 상승 추세와 MACD 골든크로스, RSI 강세 등 긍정적인 주가 모멘텀을 보이며, 유사 과거 패턴 분석 결과 높은 확률로 단기 상승이 기대됩니다. 볼린저밴드 하단대 위치는 단기 조정 후 재상승 가능성을 시사합니다.', '산일전기는 강한 상승 추세와 MACD 골든크로스, RSI 강세 등 긍정적인 기술적 지표를 보이며, 유사 과거 패턴 분석 결과 단기 상승 가능성이 높게 나타났습니다. 다만, 최근 급등에 따른 단기 조정 가능성과 정책/이슈 모멘텀의 부재는 리스크 요인으로 작용할 수 있습니다. 현재 볼린저 밴드 하단대에 위치하여 단기 반등을 기대할 수 있으나, 테마 사이클의 중기 단계로 판단되어 신중한 접근이 필요합니다. 손절선은 MA20 이탈 시 고려하는 것이 좋습니다.']"
3,094170,동운아나텍,기타,2026-05-14,BUY,0.6525,0.725,0.11499999999999999,강한 상승 모멘텀 성장주,"['growth', 'theme']","['동운아나텍은 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 패턴 분석 결과 높은 변동성 속에서도 추가 상승 가능성이 높은 성장주 특성을 나타냅니다.', '동운아나텍은 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 패턴 분석 결과 단기적으로 추가 상승 여력이 있는 것으로 판단됩니다. 다만, 명확한 테마 이슈 부재는 리스크 요인입니다.']"
4,011210,현대위아,기타,2026-05-14,BUY,0.6525,0.725,0.15,강한 상승 모멘텀 성장주,"['growth', 'theme']","['강력한 주가 모멘텀과 긍정적인 기술적 지표가 유사 과거 패턴의 높은 수익률을 뒷받침하며, 단기 조정 후 재상승 가능성이 높음.', '현대위아는 강한 상승 추세와 MACD 골든크로스 등 기술적 지표가 긍정적이며, 유사 패턴 사례들이 단기적으로 높은 수익률을 보였으나, 현재 뚜렷한 테마 모멘텀이 없어 단기적인 기술적 반등에 초점을 맞춘 접근이 필요합니다. RSI가 68로 과열권 진입 직전이며 볼린저밴드 상단대에 위치하여 단기 조정 가능성도 염두에 두어야 합니다.']"
5,051900,LG생활건강,기타,2026-05-14,BUY,0.638,0.725,0.07500000000000001,강한 상승 모멘텀 성장주,"['growth', 'theme']","['LG생활건강은 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 패턴 분석 결과 높은 확률로 단기 추가 상승이 기대됩니다. 다만, 볼린저밴드 상단대 진입과 높은 RSI는 단기 과열에 대한 주의를 요구합니다.', 'LG생활건강은 강한 상승 추세와 MACD 골든크로스, 증가하는 거래량 등 긍정적인 기술적 지표를 보이며, 유사 패턴 분석 결과 단기 상승 가능성이 높으나, 명확한 테마 이슈 부재로 인한 모멘텀 지속성 확인이 필요합니다. RSI가 63으로 과열권은 아니지만 볼린저 상단대에 근접하여 단기 조정 가능성도 염두에 두어야 합니다. 손절선은 MA20 이탈 시 고려합니다.']"
6,033160,엠케이전자,기타,2026-05-14,BUY,0.63,0.7,0.07,강한 상승 모멘텀 성장주,"['growth', 'theme']","['엠케이전자는 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 패턴 사례들이 단기적으로 양호한 수익률을 기록했으나, 볼린저밴드 상단대 진입으로 단기 조정 가능성도 존재합니다.', '엠케이전자는 강한 상승 추세와 긍정적인 기술적 지표를 보이며, 유사 패턴 분석 결과 단기 추가 상승 여력이 존재하나, 명확한 테마 부재와 높은 변동성은 리스크 요인입니다.']"
7,089890,코세스,기타,2026-05-14,BUY,0.63,0.7,0.15,강한 상승 추세 속 단기 조정 후 재상승 기대,"['growth', 'theme']","['코세스는 강한 상승 추세와 MACD 골든크로스를 유지하며 주가 모멘텀이 살아있고, 유사 과거 패턴에서 높은 수익률을 보인 사례가 다수 존재하여 추가 상승 여력이 충분하다고 판단됩니다. 특히, 반도체 섹터의 성장성은 긍정적입니다.', '코세스는 강한 상승 추세와 MACD 골든크로스 유지, 유사 패턴 사례에서 높은 수익률을 보였으나, 현재 명확한 정책/이슈 부재와 거래량 급감은 단기 변동성을 키울 수 있어 주의가 필요합니다. 다만, 역사적 변동성이 높고 RSI가 중립 수준이므로 추가 상승 여력은 존재합니다. 손절선은 MA20 지지선 이탈 시로 설정합니다.']"
8,368770,파이버프로,기타,2026-05-14,BUY,0.595,0.7,0.09,단기 반등 기대 테마주,"['theme', 'crisis']","['MACD 골든크로스 및 볼린저 하단대 위치, 유사 패턴의 높은 수익률 사례를 고려할 때 단기 반등 가능성이 높으나, 현재 뚜렷한 테마 모멘텀 부재로 인한 상승 지속성에는 한계가 있을 수 있습니다. 손절선은 MA20 대비 -10% 수준으로 설정하는 것이 적절해 보입니다.', 'MACD 골든크로스 및 볼린저 하단대 진입으로 기술적 반등 가능성이 높으며, 유사 사례들이 긍정적인 회복 패턴을 보임.']"
9,071970,HD현대마린엔진,기타,2026-05-14,BUY,0.595,0.7,0.07,단기 급락 후 반등 기대,"['crisis', 'theme']","['HD현대마린엔진은 단기 급락에도 불구하고 MACD 골든크로스 및 볼린저밴드 하단대 진입으로 기술적 반등 가능성이 높으며, 유사 과거 패턴 분석 결과 대부분 긍정적인 회복세를 보였습니다. 현재까지 구조적인 악재는 확인되지 않아 일시적 조정으로 판단됩니다.', 'HD현대마린엔진은 단기 하락 추세에 있으나, MACD 골든크로스 및 볼린저밴드 하단대 진입으로 기술적 반등 가능성이 높습니다. 유사 과거 패턴 분석 결과, 현재와 유사한 조건에서 5일 이내 평균 7% 이상의 수익률을 기록한 사례가 다수 존재하며, 특히 RSI가 중립 수준이고 ADX가 30으로 추세 강도가 유지되고 있어 단기 반등 모멘텀이 기대됩니다. 다만, 역사적 변동성이 높은 점은 유의해야 합니다.']"
10,079550,LIG디펜스앤에어로스페이스,기타,2026-05-14,BUY,0.595,0.7,0.1,단기 하락 후 반등 기대,"['theme', 'crisis']","['LIG디펜스앤에어로스페이스는 MACD 골든크로스 및 유사 과거 패턴에서 높은 확률로 단기 상승을 보였으며, RSI와 볼린저밴드 지표가 과열되지 않아 상승 여력이 충분하다고 판단됩니다. 방산 섹터의 정책 수혜 기대감은 상존하나, 현재 특별한 이슈 모멘텀은 부재합니다. 손절선은 MA20 이탈 시 고려해야 합니다.', '현재 종목은 단기 하락 추세이나, MACD 골든크로스 및 유사 과거 패턴 분석 결과 높은 확률로 반등 가능성이 존재하며, RSI 중립으로 추가 하락 압력은 제한적입니다.']"
